RQ000001,"{'-汽油-115-MT-两驱': '4650x1835x1715,1735'}"
RQ008383,"{'2.4-汽油-102-MT-两驱': '4980,4970x1690x2220'}"
RQ008384,{'2.5-柴油-103-MT-两驱': '5310x1812x1800'}
RQ008385,"{'2.5-柴油-65-MT-两驱': '5340,5270x1700x1960,2050,2250'}"
RQ008386,"{'2.5-柴油-65-MT-两驱': '5340x1700x1960,2050,2250'}"
RQ008387,{'2.5-柴油-98-MT-两驱': '4980x1820x1715'}
RQ008388,"{'2.5-柴油-85-MT-四驱': '5080x1820x1715,1795'}"
RQ008389,"{'2.4-汽油-102-MT-两驱': '5440x1880x2285,2455'}"
RQ008390,"{'2.4-汽油-102-AT-两驱': '4950,5030x1700x1980,2066,2240'}"
RQ008391,"{'2.5-柴油-100-MT-两驱': '4950,5160x1998x2132,2345'}"
RQ008392,{'2.5-柴油-85-MT-两驱': '5730x1690x1650'}
RQ008393,{'2.5-柴油-75-MT-两驱': '4975x1820x1940'}
RQ008394,{'2.5-柴油-75-MT-两驱': '5235x1800x1980'}
RQ008395,{'2.5-汽油-160-AT-两驱': '4531x1817x1421'}
RQ008396,"{'2.5-汽油-140-AT-两驱': '4993,5045x1901x1875,1937,2105'}"
RQ008397,"{'2.5-柴油-100-MT-两驱': '4950,5160x1998x2132,2280,2345,2485,2552,2700'}"
RQ008398,"{'2.5-柴油-100-MT-两驱': '5700,5910x1998x2510,2420,2480,2650,2715'}"
RQ008399,"{'2.5-柴油-100-MT-两驱': '5700,5910x1998x2510,2650,2715,2550'}"
RQ008400,"{'2.5-柴油-100-MT-两驱': '5700,5910x1998x2510,2650,2715'}"
RQ008401,"{'2.5-柴油-88-MT-两驱': '4950,5160x1998x2132,2370,2532,2692,2760,2905'}"
RQ008402,"{'2.5-柴油-80-MT-两驱': '5360,5390x1800x1730,1755'}"
RQ008403,"{'2.5-柴油-80-MT-两驱': '5360,5390x1800x1730'}"
RQ008404,{'2.5-柴油-80-MT-两驱': '5360x1800x1730'}
RQ008405,"{'2.5-柴油-65-MT-两驱': '5240,5425x1890x2800'}"
RQ008406,"{'2.5-柴油-65-MT-两驱': '5320x1690x2050,2225'}"
RQ008407,{'2.5-柴油-67-MT-两驱': '5410x1890x2755'}
RQ008408,{'2.5-柴油-67-MT-两驱': '5820x1907x2151'}
RQ008409,{'2.7-汽油-120-MT-两驱': '5420x1880x2285'}
RQ008410,{'2.5-柴油-67-MT-两驱': '5240x1890x2800'}
RQ008411,{'2.5-柴油-67-MT-两驱': '5350x1860x2800'}
RQ008412,{'2.5-柴油-100-MT-四驱': '5310x1812x1800'}
RQ008413,"{'2.7-柴油-66-MT-两驱': '5995x1960,2020x3010'}"
RQ008414,{'2.7-柴油-60-MT-两驱': '5420x1920x2280'}
RQ008415,{'2.7-柴油-66-MT-两驱': '5995x2160x2750'}
RQ008416,{'2.6--89-MT-两驱': '4975x1690x1640'}
RQ008417,"{'2.5-柴油-75-MT-两驱': '5995x1960,2150x3250'}"
RQ008418,"{'2.5-柴油-60-MT-两驱': '5470,5530x1700x1655,1695'}"
RQ008419,"{'2.5-柴油-64-MT-两驱': '5005,5240x1880x2275'}"
RQ008420,{'2.5-柴油-67-MT-两驱': '5420x1920x2280'}
RQ008421,"{'2.7-柴油-70-MT-两驱': '5150x1800,1900,2000x2750'}"
RQ008422,"{'2.7-柴油-70-MT-两驱': '5430x1910,1968x2800,2900'}"
RQ008423,"{'2.7-柴油-70-MT-两驱': '5430x1910x2800,2900'}"
RQ008424,"{'2.7-柴油-60-MT-两驱': '5580x2010,2110x2880'}"
RQ008425,"{'2.7-柴油-60-MT-两驱': '5860,5995x1990x2210'}"
RQ008426,{'2.7-柴油-66-MT-两驱': '5400x1968x2800'}
RQ008427,{'2.4-汽油-119-AT-两驱': '4905x1830x1495'}
RQ008428,{'2.4-汽油-105-MT-两驱': '5560x1850x1760'}
RQ008429,{'2.4-汽油-105-MT-两驱': '5350x1790x1725'}
RQ008430,"{'2.0-汽油-95-MT-两驱': '5120,5490,5790x1830,1930x2170,2260'}"
RQ008431,"{'2.0-汽油-95-MT-两驱': '5225,5170,5475,5420,5785,5730x1730,1700x2100'}"
RQ008432,"{'2.0-汽油-95-MT-两驱': '5225,5170,5475,5420,5785,5730x1730x2100'}"
RQ008433,{'2.0-汽油-98-MT-两驱': '4905x1800x1970'}
RQ008434,{'2.0-汽油-113-AT-两驱': '4843x1856x1484'}
RQ008435,"{'2.0-汽油-180-AT-四驱': '4725,4730x1880x1675,1686'}"
RQ008436,"{'2.0-汽油-180-AT-四驱': '4725x1880x1675,1686'}"
RQ008437,"{'2.0-汽油-95-MT-两驱': '4946,5246x1760x2444,2574'}"
RQ008438,{'2.4-汽油-115-MT-两驱': '5035x1820x1970'}
RQ008439,{'2.0-汽油-85.5-MT-两驱': '5985x1895x2170'}
RQ008440,{'2.0-汽油-173-AT-两驱': '5020x1805x1480'}
RQ008441,"{'2.0-汽油-95-MT-两驱': '5090,5140,5400x1710,1810,1830x2100'}"
RQ008442,"{'2.0-汽油-95-MT-两驱': '5090,5140x1710,1810x2100'}"
RQ008443,"{'2.0-汽油-95-MT-两驱': '5090x1710,1810x2100'}"
RQ008444,{'2.0-汽油-95-MT-两驱': '5090x1710x2100'}
RQ008445,{'2.0-汽油-132-AT-两驱': '4845x1876x1768'}
RQ008446,{'2.0-汽油-92.4-MT-两驱': '5450x1740x1760'}
RQ008447,"{'2.0-汽油-89-MT-两驱': '4650,4560,4460,4370x1750x1955,1830,1800'}"
RQ008448,"{'2.0-汽油-89-MT-四驱': '4010,4210x1680,1750x1700,1840'}"
RQ008449,{'2.0-汽油-157-AT-两驱': '4364x1800x1600'}
RQ008450,{'2.0-汽油-95-MT-两驱': '5320x1695x2240'}
RQ008451,{'2.0-汽油-75-MT-四驱': '4080x1828x1870'}
RQ008452,{'2.0-汽油-95-MT-两驱': '5475x1740x2655'}
RQ008453,{'2.0-汽油-91-MT-两驱': '5180x1744x1990'}
RQ008454,"{'2.0-汽油-151-DCT-两驱': '4565x1830x1720,1675'}"
RQ008455,{'2.0-汽油-151-DCT-两驱': '4565x1830x1720'}
RQ008456,{'2.0-汽油-151-DCT-两驱': '4835x1855x1720'}
RQ008457,{'2.0-汽油-110-MT-两驱': '4595x1755x1475'}
RQ008458,{'2.0-汽油-119-AT-两驱': '4820x1835x1475'}
RQ008459,"{'2.0-汽油-76-MT-两驱': '5340x1700x1960,2050,2250'}"
RQ008460,"{'2.0-汽油-81-MT-两驱': '5340,5270x1700x1960,2050,2250'}"
RQ008461,"{'2.0-汽油-81-MT-两驱': '5340x1700x1960,2050,2250'}"
RQ008462,"{'2.0-汽油-81-MT-两驱': '4950,5030x1700x2240,2066,1980'}"
RQ008463,"{'2.0-汽油-81-MT-两驱': '5070,5020x1690x1935,1995,2225'}"
RQ008464,{'2.2-柴油-65-MT-两驱': '4975x1930x2170'}
RQ008465,"{'2.0-汽油-95-MT-两驱': '5320x1690x2050,2225'}"
RQ008466,"{'2.0-汽油-84-MT-两驱': '4790x1800x1750,1870'}"
RQ008467,"{'2.0-柴油-102-MT-四驱': '5315,5605,5345,5635x1830,1850x1815,1860'}"
RQ008468,"{'2.0-柴油-102-MT-四驱': '5315,5605x1830x1815,1860'}"
RQ008469,"{'2.0-柴油-102-MT-四驱': '5315,5605x1830x1815'}"
RQ008470,{'2.0-柴油-102-MT-四驱': '5315x1830x1815'}
RQ008471,"{'2.2-柴油-56-MT-两驱': '5150,4990x1750,1900x2150,2070'}"
RQ008472,"{'2.2-柴油-56-MT-两驱': '5150,4990x1750x2150,2070'}"
RQ008473,"{'2.2-柴油-56-MT-两驱': '5150,4990x1750x2150'}"
RQ008474,"{'2.2-柴油-52-MT-两驱': '5125x1890,1990x2750'}"
RQ008475,{'2.2-柴油-65-MT-两驱': '5430x1930x2160'}
RQ008476,{'2.2-柴油-65-MT-两驱': '5115x1910x2250'}
RQ008477,"{'2.1-柴油-45-MT-两驱': '4680,4880,4780,4980x1580x1890'}"
RQ008478,"{'2.1-柴油-52-MT-两驱': '4640,4720,4940,5020x1615x2580'}"
RQ008479,"{'2.1-柴油-52-MT-两驱': '5425,5115x1910,1710x2700'}"
RQ008480,"{'2.2-柴油-45-MT-两驱': '5110,5340,5600x1740x2050'}"
RQ008481,"{'2.2-柴油-58-MT-两驱': '4430,4510x1710x2060'}"
RQ008482,{'2.2-柴油-60-MT-两驱': '5225x1730x2080'}
RQ008483,"{'2.2-柴油-65-MT-两驱': '5490x2030x2920,2770'}"
RQ008484,{'2.2-柴油-50-MT-两驱': '5003x1907x2165'}
RQ008485,"{'2.2-柴油-45-MT-两驱': '4621,4771,4721,4871,4846,4946x1595x2460,2590'}"
RQ008486,"{'2.2-柴油-45-MT-两驱': '4621,4771,4721,4871,4846,4946x1595x2460'}"
RQ008487,"{'2.2-柴油-45-MT-两驱': '4621,4771,4721,4871x1595x2460'}"
RQ008488,"{'2.2-柴油-45-MT-两驱': '4621,4771x1595x2460'}"
RQ008489,{'2.2-柴油-65-MT-两驱': '5420x1920x2270'}
RQ008490,{'2.2-柴油-65-MT-两驱': '4890x1695x2620'}
RQ008491,{'2.2-柴油-55-MT-两驱': '5420x1920x2750'}
RQ008492,"{'2.2-柴油-52-MT-两驱': '4850,5155x1630x2460'}"
RQ008493,{'2.2-柴油-66-MT-两驱': '5610x1690x1710'}
RQ008494,{'2.2-柴油-60-MT-两驱': '5030x1762x2510'}
RQ008495,{'2.2-柴油-60-MT-两驱': '4530x1750x2050'}
RQ008496,"{'2.2-柴油-60-MT-两驱': '4695,4755x1605x1920'}"
RQ008497,"{'2.2-汽油-76-MT-两驱': '5085,5020x1690x2115'}"
RQ008498,{'2.2-柴油-60-MT-两驱': '5390x1782x2625'}
RQ008499,"{'2.2-柴油-60-MT-两驱': '5790,5490,5130,5430x1930x2170,2280'}"
RQ008500,"{'2.2-柴油-60-MT-两驱': '5790,5490,5130x1930x2170,2280'}"
RQ008501,"{'2.2-柴油-56-MT-两驱': '5430x1910,1968x2800,2900'}"
RQ008502,"{'2.2-柴油-56-MT-两驱': '5430x1910x2800,2900'}"
RQ008503,"{'2.2-柴油-60-MT-两驱': '4700,4805,5000x1625x1980'}"
RQ008504,{'2.2-柴油-62-MT-两驱': '5380x1782x2070'}
RQ008505,"{'2.4-汽油-102-AT-两驱': '4695x1820x1880,1950'}"
RQ008506,{'2.2-柴油-57-MT-两驱': '5003x1907x2770'}
RQ008507,{'2.2-柴油-60-MT-两驱': '5445x1910x2750'}
RQ008508,"{'2.2-汽油-104-MT-两驱': '5070,5020x1690x1935,1995,2225'}"
RQ008509,{'2.2-汽油-76-MT-两驱': '5280x1700x1980'}
RQ008510,"{'2.2-汽油-75-MT-两驱': '5610,5610,5525,5810,5725x1690,1725x1710,1730'}"
RQ008511,"{'2.2-汽油-75-MT-两驱': '5610,5610,5525x1690,1725x1710,1730'}"
RQ008512,"{'2.2-汽油-82-MT-两驱': '5340x1700x2250,2530,2050,1960'}"
RQ008513,"{'2.2-汽油-82-MT-两驱': '5340x1700x2250,2530'}"
RQ008514,"{'2.2-汽油-76-MT-两驱': '5085x1690x2135,2425'}"
RQ008515,"{'2.2-汽油-76-MT-两驱': '5070,5020x1690x2115,2175,2405'}"
RQ008516,"{'2.2-柴油-115-MT-两驱': '5780x2000x2360,2590'}"
RQ008517,{'2.2-汽油-76-MT-两驱': '5350x1695x1650'}
RQ008518,{'2.2-汽油-82-MT-两驱': '5420x1740x1720'}
RQ008519,{'2.3-汽油-118-AT-两驱': '4760x1910x1640'}
RQ008520,{'2.2-汽油-78-MT-两驱': '5095x1710x1720'}
RQ008521,"{'2.2-汽油-76-MT-两驱': '5420,5275x1690x1670'}"
RQ008522,"{'2.2-汽油-76-MT-两驱': '5385,5320x1690x2050,2225,1935,1995'}"
RQ008523,"{'2.2-汽油-76-MT-两驱': '5385,5320x1690x2050,2225'}"
RQ008524,"{'2.2-汽油-76-MT-两驱': '5130,5060x1760x1740'}"
RQ008525,{'2.2-汽油-76-MT-两驱': '5105x1700x1695'}
RQ008526,"{'2.3-汽油-95.6-MT-两驱': '5440x1855x2550,2415,2340'}"
RQ008527,{'2.3-汽油-95.6-MT-两驱': '5440x1855x2550'}
RQ008528,{'2.2-汽油-82-MT-两驱': '5088x1820x1804'}
RQ008529,"{'2.2-汽油-82-MT-两驱': '5330,5260x1700x2240,2066,1980'}"
RQ008530,"{'2.2-汽油-82-MT-两驱': '5080,5225,5250,5130x1720,1775,1830,1800x1700,1730'}"
RQ008531,"{'2.2-汽油-82-MT-两驱': '5080,5225,5250x1720,1775,1830x1700,1730'}"
RQ008532,{'2.2-汽油-78-MT-两驱': '5450x1740x1710'}
RQ008533,"{'2.2-汽油-82-MT-两驱': '5080x1720,1775x1810'}"
RQ008534,"{'2.2-汽油-76-MT-两驱': '5520x1800,1850x2175'}"
RQ008535,{'2.2-汽油-76-MT-两驱': '5290x1800x2175'}
RQ008536,"{'2.2--82-MT-两驱': '5040x1700x2050,2250'}"
RQ008537,{'2.3-柴油-90-MT-两驱': '5670x2011x2726'}
RQ008538,"{'2.3-柴油-50-MT-两驱': '5490,5190x1750,1880x2750'}"
RQ008539,"{'2.3-柴油-50-MT-两驱': '5490x1750,1880x2750'}"
RQ008540,"{'2.3-柴油-60-MT-两驱': '5495,5295x1980,2060,2160x2540'}"
RQ008541,"{'2.3-汽油-116-MT-两驱': '4963x2000x2398,2600'}"
RQ008542,{'2.4-汽油-115-AT-两驱': '4860x1845x1485'}
RQ008543,"{'2.4-汽油-132-AT-两驱': '4945,4960x1845x1480'}"
RQ008544,{'2.4-汽油-132-AT-两驱': '4945x1845x1480'}
RQ008545,{'2.4-汽油-92-MT-两驱': '4666x1974x2200'}
RQ008546,"{'2.4-汽油-110-MT-两驱': '4695,4740x1820x2160'}"
RQ008547,{'2.4-汽油-110-MT-两驱': '4695x1820x2160'}
RQ008548,{'2.4-汽油-92-MT-两驱': '5418x1974x2810'}
RQ008549,{'2.4-汽油-92-MT-两驱': '4800x1830x2150'}
RQ008550,{'2.4-汽油-92-MT-两驱': '4800x1830x2150'}
RQ008551,"{'2.4-汽油-95.5-MT-两驱': '4555,4620x1885x1825'}"
RQ008552,"{'2.4-汽油-92.6-MT-两驱': '5055,5115x1695,1720,1765x2123'}"
RQ008553,"{'2.4-汽油-100-MT-两驱': '5080x1750x1860,1910'}"
RQ008554,"{'2.4-汽油-141-CVT-四驱': '4705x1810x1680,1710'}"
RQ008555,{'2.4-汽油-141-CVT-四驱': '4705x1810x1680'}
RQ008556,{'2.4-汽油-137-CVT-两驱': '4930x1845x1470'}
RQ008557,"{'2.4-汽油-110-MT-两驱': '4545,4635,4730x1840x1880,1895,2040'}"
RQ008558,"{'2.4-汽油-110-MT-两驱': '4545,4635,4730x1840x1895,2040'}"
RQ008559,{'2.5-柴油-64-MT-两驱': '5700x2060x2540'}
RQ008560,"{'2.4-汽油-100-MT-两驱': '5310x1880x1870,1860'}"
RQ008561,"{'2.4-汽油-100-MT-两驱': '4649,4650,4620x1810,1800x1745,1755,1810'}"
RQ008562,{'2.4--110-MT-两驱': '4980x1820x1715'}
RQ008563,{'2.4-柴油-60-MT-两驱': '5420x1920x2270'}
RQ008564,"{'2.4-汽油-123-AT-两驱': '4673x1868,1849x1753'}"
RQ008565,{'2.4-汽油-105-MT-两驱': '5365x1900x2029'}
RQ008566,"{'2.4-汽油-100-MT-两驱': '5380x1920x2520,2285,2750,2740,2560,2500'}"
RQ008567,"{'2.4-汽油-100-MT-两驱': '5380x1920x2520,2285'}"
RQ008568,{'2.4-汽油-100-MT-两驱': '5380x1920x2520'}
RQ008569,"{'2.4-汽油-100-MT-两驱': '5730x1870x1864,1844'}"
RQ008570,{'2.4-柴油-60-MT-两驱': '5720x1920x2750'}
RQ008571,{'2.4-柴油-103-MT-四驱': '5410x1905x1835'}
RQ008572,"{'2.4-柴油-103-MT-两驱': '5780x2000x2360,2590'}"
RQ008573,"{'2.4-柴油-85-MT-两驱': '4863,4963,5183x2000x2600,2640'}"
RQ008574,{'2.4-汽油-105-MT-四驱': '4350x1843x1834'}
RQ008575,{'2.4-汽油-102-MT-两驱': '4880x1880x2285'}
RQ008576,{'2.4-汽油-102-MT-两驱': '4880x1880x2285'}
RQ008577,{'2.4-汽油-105-MT-两驱': '5088x1820x1804'}
RQ008578,"{'2.5-汽油-132-AT-四驱': '4600x1845x1690,1715'}"
RQ008579,{'2.4-汽油-102-MT-两驱': '5310x1690x2220'}
RQ008580,{'2.4-汽油-102-MT-两驱': '5235x1800x2180'}
RQ008581,"{'2.4-汽油-90-MT-两驱': '5070,5020x1690x2115,2175,2405'}"
RQ008582,{'2.5-汽油-135-MT-两驱': '5263x1850x1790'}
RQ008583,{'2.5-柴油-103-MT-四驱': '5310x1812x1800'}
RQ008584,{'2.5-汽油-144-AT-四驱': '4555x1840x1710'}
RQ008585,"{'2.5-柴油-65-MT-两驱': '5340,5270x1700x1960,2050,2250'}"
RQ008586,"{'2.5-柴油-65-MT-两驱': '5340x1700x1960,2050,2250'}"
RQ008587,"{'2.5-汽油-135-MT-四驱': '4630,4650x1785x1685,1770'}"
RQ008588,{'2.4-汽油-102-MT-两驱': '5440x1880x2465'}
RQ008589,"{'2.4-汽油-102-AT-两驱': '5330,5260x1700x1980,2066,2240'}"
RQ008590,{'2.5-柴油-85-MT-两驱': '5730x1820x1715'}
RQ008591,{'2.5-柴油-80-MT-两驱': '4980x1690x1650'}
RQ008592,{'2.5-柴油-75-MT-两驱': '5235x1800x2180'}
RQ008593,{'2.5-汽油-142-AT-两驱': '5005x1810x1500'}
RQ008594,"{'2.5-汽油-140-AT-两驱': '5223,5275x1901x1872,1942,2100'}"
RQ008595,{'2.5-汽油-85-MT-两驱': '4740x1795x1770'}
RQ008596,"{'2.5-柴油-64-MT-两驱': '5240,5425x1890x2800'}"
RQ008597,{'2.5-柴油-67-MT-两驱': '5410x1890x2755'}
RQ008598,"{'2.5-柴油-67-MT-两驱': '5900,5995x1960x2400'}"
RQ008599,{'2.5-柴油-67-MT-两驱': '5240x1890x2200'}
RQ008600,{'2.5-柴油-67-MT-两驱': '5350x1860x2800'}
RQ008601,{'2.5-柴油-100-MT-两驱': '5605x1812x1800'}
RQ008602,"{'2.7-柴油-69-MT-两驱': '5560,5320x1900x2185'}"
RQ008603,{'2.7-柴油-60-MT-两驱': '5720x1920x2270'}
RQ008604,{'2.7-柴油-66-MT-两驱': '5995x1960x2275'}
RQ008605,{'2.6--89-MT-两驱': '4975x1690x1680'}
RQ008606,"{'2.5-柴油-70-MT-两驱': '4830,5030x1810x2150'}"
RQ008607,"{'2.5-柴油-60-MT-两驱': '5115,5175x1700x1655,1695'}"
RQ008608,"{'2.5-柴油-65-MT-两驱': '5005,5240x1880x2275'}"
RQ008609,{'2.5-柴油-67-MT-两驱': '5720x1920x2270'}
RQ008610,{'2.4-汽油-119-AT-两驱': '4905x1830x1495'}
RQ008611,{'2.4-汽油-105-MT-两驱': '5560x1850x1760'}
RQ008612,"{'2.0-汽油-95-MT-两驱': '5040,5095,5525,5730x1830,1930x2750,2900'}"
RQ008613,"{'2.0-汽油-95-MT-两驱': '5225,5170,5475,5420,5785,5730x1730,1775x2450,2580'}"
RQ008614,"{'2.0-汽油-95-MT-两驱': '5225,5170,5475,5420,5785,5730x1730x2450,2580'}"
RQ008615,{'2.0-汽油-98-MT-两驱': '5350x1800x1980'}
RQ008616,{'2.0-汽油-95-MT-两驱': '5178、5288x1750x1745'}
RQ008617,"{'2.0-汽油-180-AT-四驱': '4725,4730x1880x1675,1686'}"
RQ008618,"{'2.0-汽油-180-AT-四驱': '4725x1880x1675,1686'}"
RQ008619,"{'2.0-汽油-95-MT-两驱': '4986,5186x1760x2444,2574'}"
RQ008620,"{'2.4-汽油-110-MT-两驱': '5035,5075x1820x1970'}"
RQ008621,{'2.4-汽油-110-MT-两驱': '5035x1820x1970'}
RQ008622,{'2.0-汽油-95-MT-两驱': '5995x1920x2850'}
RQ008623,{'2.0-汽油-173-AT-两驱': '5020x1805x1480'}
RQ008624,"{'2.0-汽油-95-MT-两驱': '5070,4800,5120,5490x1710,1810,1730,1830x2100,2150'}"
RQ008625,"{'2.0-汽油-95-MT-两驱': '5070,4800,5120x1710,1810,1730x2100,2150'}"
RQ008626,"{'2.0-汽油-95-MT-两驱': '5070,4800x1710,1810,1730x2100,2150'}"
RQ008627,"{'2.0-汽油-95-MT-两驱': '5070x1710,1810x2100'}"
RQ008628,{'2.0-汽油-95-MT-两驱': '5070x1710x2100'}
RQ008629,"{'2.0-汽油-89-MT-两驱': '4650,4560,4460,4370x1750x1830,1955'}"
RQ008630,{'2.0-汽油-157-AT-两驱': '4342x1800x1600'}
RQ008631,{'2.0-汽油-150-AT-两驱': '5087x1868x1500'}
RQ008632,{'2.0-汽油-75-MT-四驱': '4340x1828x1870'}
RQ008633,"{'2.2-柴油-75-MT-两驱': '5015,5085x1725x1690'}"
RQ008634,{'2.2-柴油-75-MT-两驱': '5015x1725x1690'}
RQ008635,{'2.0-汽油-95-MT-两驱': '5450x1720x2135'}
RQ008636,{'2.0-汽油-91-MT-两驱': '5180x1744x2200'}
RQ008637,{'2.0-汽油-91-MT-两驱': '5180x1744x1990'}
RQ008638,{'2.0-汽油-151-DCT-两驱': '4565x1830x1720'}
RQ008639,{'2.0-汽油-151-DCT-四驱': '4835x1855x1720'}
RQ008640,{'2.0-汽油-110-MT-两驱': '4595x1755x1475'}
RQ008641,{'2.0-汽油-119-AT-两驱': '4820x1835x1475'}
RQ008642,"{'2.0-汽油-76-MT-两驱': '5400,5350x1690x2225'}"
RQ008643,"{'2.0-汽油-81-MT-两驱': '5330,5260x1700x2240,2066,1980'}"
RQ008644,"{'2.0-汽油-81-MT-两驱': '5130,5060,5050x1760,1823x1740,1730'}"
RQ008645,"{'2.0-汽油-81-MT-两驱': '5130,5060x1760x1740'}"
RQ008646,"{'2.0-汽油-81-MT-两驱': '5070,5020x1690x1935,1995,2225'}"
RQ008647,"{'2.2-柴油-55-MT-两驱': '5490x1920,1960x2750'}"
RQ008648,{'2.2-柴油-55-MT-两驱': '5490x1920x2750'}
RQ008649,"{'2.0-汽油-95-MT-两驱': '5020x1690x2205,2495'}"
RQ008650,"{'2.0-汽油-84-MT-两驱': '4200,4400x1780x1820'}"
RQ008651,"{'2.0-汽油-182-AT-两驱': '4878x1925x1734,1770'}"
RQ008652,"{'2.2-柴油-55-MT-两驱': '5490x1920,1980x2200,2260'}"
RQ008653,{'2.2-柴油-55-MT-两驱': '5490x1920x2200'}
RQ008654,"{'2.2-柴油-65-MT-两驱': '5695x1730,1830x2220,2150'}"
RQ008655,"{'2.2-柴油-65-MT-两驱': '5695x1730,1830x2220'}"
RQ008656,"{'2.2-柴油-55-MT-两驱': '5208,5490x1920x2750'}"
RQ008657,{'2.2-柴油-55-MT-两驱': '5208x1920x2750'}
RQ008658,"{'2.2-柴油-52-MT-两驱': '5085,5300x1910,2030x2200'}"
RQ008659,"{'2.1-柴油-45-MT-两驱': '4945,5145x1750x2040'}"
RQ008660,"{'2.1-柴油-52-MT-两驱': '4670,4750,4755,4835,4970,5050x1615x2580'}"
RQ008661,"{'2.1-柴油-52-MT-两驱': '5425,5115x1960,1760x2750'}"
RQ008662,{'2.2-柴油-67-MT-两驱': '5760x1920x2200'}
RQ008663,"{'2.2-柴油-58-MT-两驱': '4620,4700,4920,5000x1615x2580'}"
RQ008664,"{'2.2-柴油-52-MT-两驱': '5125,5435,5710x1730,1830,1930x2120,2190'}"
RQ008665,"{'2.2-柴油-65-MT-两驱': '5490x2030x2920,2770'}"
RQ008666,{'2.2-柴油-50-MT-两驱': '5253x1907x2165'}
RQ008667,"{'2.2-柴油-45-MT-两驱': '4316,4416,4946x1510,1605x1920'}"
RQ008668,"{'2.2-柴油-45-MT-两驱': '4316,4416x1510x1920'}"
RQ008669,{'2.2-柴油-45-MT-两驱': '4316x1510x1920'}
RQ008670,"{'2.2-柴油-65-MT-两驱': '5060x1730,1830x2080'}"
RQ008671,{'2.2-柴油-55-MT-两驱': '5990x2000x2750'}
RQ008672,{'2.2-柴油-65-MT-两驱': '5420x1920x2750'}
RQ008673,"{'2.2-柴油-60-MT-两驱': '4795,,5105,5420,5995,4955,5185x1625,,1960,2030,1665,1735x2060,2220,2270,2285'}"
RQ008674,"{'2.2-柴油-60-MT-两驱': '4795,,5105,5420,5995,4955,5185x1625,,1960,2030,1665x2060,2220,2270,2285'}"
RQ008675,"{'2.2-柴油-60-MT-两驱': '4795,,5105,5420,5995,4955,5185x1625,,1960,2030,1665x2060'}"
RQ008676,{'2.2-柴油-60-MT-两驱': '4795x1625x2060'}
RQ008677,{'2.2-柴油-60-MT-两驱': '5030x1762x2510'}
RQ008678,{'2.2-柴油-60-MT-两驱': '5380x1782x2070'}
RQ008679,"{'2.2-柴油-60-MT-两驱': '4705,4765x1650x2450,2580'}"
RQ008680,"{'2.2-汽油-76-MT-两驱': '5320,5385x1690x2225,2050,1935,1995'}"
RQ008681,"{'2.2-汽油-76-MT-两驱': '5320,5385x1690x2225'}"
RQ008682,{'2.2-柴油-60-MT-两驱': '5540x1782x2645'}
RQ008683,"{'2.2-柴油-45-MT-两驱': '4945,5145x1750x2040'}"
RQ008684,"{'2.2-柴油-56-MT-两驱': '5040x1810,1910x2700,2800'}"
RQ008685,"{'2.2-柴油-56-MT-两驱': '5040x1810,1910x2700,2600'}"
RQ008686,{'2.2-柴油-60-MT-两驱': '4510x1710x2060'}
RQ008687,{'2.2-柴油-62-MT-两驱': '5530x1782x2090'}
RQ008688,"{'2.4-汽油-100-MT-两驱': '4695x1820x1880,1950'}"
RQ008689,"{'2.2-柴油-57-MT-两驱': '5003x1907,1960x2770'}"
RQ008690,{'2.2-柴油-57-MT-两驱': '4701x1700x2645'}
RQ008691,{'2.2-柴油-60-MT-两驱': '5445x1910x2260'}
RQ008692,"{'2.2-汽油-104-MT-两驱': '5400,5350x1690x2225'}"
RQ008693,{'2.2-汽油-76-MT-两驱': '5400x1740x1680'}
RQ008694,"{'2.2-汽油-104-MT-两驱': '5070,5020x1690x2115,2175,2405'}"
RQ008695,"{'2.2--82-MT-两驱': '5040x1700x2050,2250'}"
RQ008696,"{'2.2-汽油-76-MT-两驱': '5200x1700x2050,2250'}"
RQ008697,{'2.2-汽油-78-MT-两驱': '5450x1830x2470'}
RQ008698,"{'2.2-汽油-76-MT-两驱': '5450,5590x1760x1665'}"
RQ008699,{'2.2-汽油-76-MT-两驱': '5450x1760x1665'}
RQ008700,{'2.2-汽油-76-MT-两驱': '5420x1740x1720'}
RQ008701,{'2.3-汽油-118-AT-两驱': '4760x1910x1640'}
RQ008702,{'2.2-汽油-78-MT-两驱': '5430x1710x1720'}
RQ008703,{'2.2-汽油-76-MT-两驱': '4855x1780x1900'}
RQ008704,{'2.2-汽油-104-MT-两驱': '5310x1690x2040'}
RQ008705,"{'2.2-汽油-76-MT-两驱': '5130,5060x1760x1740'}"
RQ008706,{'2.2-汽油-76-MT-两驱': '5105x1700x1890'}
RQ008707,"{'2.3-汽油-95.6-MT-两驱': '5340,5440x1855x2105'}"
RQ008708,"{'2.2-汽油-82-MT-两驱': '5480x1820,1840x1810,1850'}"
RQ008709,"{'2.2-汽油-82-MT-两驱': '5330,5260x1700x2420,2340,2115'}"
RQ008710,"{'2.2-汽油-82-MT-两驱': '5480,5580,5605,5630x1720,1775,1830,1800x1700,1730'}"
RQ008711,"{'2.2-汽油-82-MT-两驱': '5480,5580,5605x1720,1775,1830x1700,1730'}"
RQ008712,{'2.2-汽油-78-MT-两驱': '5095x1740x1710'}
RQ008713,"{'2.2-汽油-82-MT-两驱': '5480,5580x1720,1775x1810'}"
