ba05b3f264eb6598f2e8b6c2401121cc,奥迪,一汽-大众奥迪,奥迪A4L,1.8T,手动变速箱(MT),2010,A4L
1df88a18c9b96853b0e0f1907d1c2825,奥迪,奥迪(进口),奥迪A4(进口),2.5TD,无级变速箱(CVT),2001,A4
721f90b3ac68430aa424f01860e0ff83,奥迪,奥迪(进口),奥迪A4(进口),2.5TD,自动变速箱(AT),2001,A4
a80964690a20329ecb6699f7f290fd3e,奥迪,奥迪(进口),奥迪A4(进口),3,手自一体变速箱(AT),2003,A4 CABRIOLET
f62a221c222dc146397e64c61bcf1e22,奥迪,奥迪(进口),奥迪A4(进口),3,手动变速箱(MT),2001,A4
2869ebcab640ac93348c861b1814c9c4,奥迪,奥迪(进口),奥迪A4(进口),3,无级变速箱(CVT),2001,A4
2ee65c75cfe6cd8bf315a508bb387555,奥迪,奥迪(进口),奥迪A4(进口),3.0T,手自一体变速箱(AT),2018,S4 LIMOUSINE
b46c97ae1c88200a26d379bb1c789938,奥迪,奥迪(进口),奥迪A4(进口),3.0T,手自一体变速箱(AT),2008,S4
dd0883b69d0ba280f5e2cce46f95944b,奥迪,奥迪(进口),奥迪A4(进口),3.0T,手动变速箱(MT),2008,S4 AVANT
0a8383c8ae3242191cb3c9b01e8a60e3,奥迪,奥迪(进口),奥迪A4(进口),3.0T,手自一体变速箱(AT),2008,S4 AVANT
550c2214f21190a393db2e5c1d8b6c6f,奥迪,奥迪(进口),奥迪A4(进口),3.0TD,手动变速箱(MT),2007,A4
c6159623d9cfb49450cad0de93ea025f,奥迪,奥迪(进口),奥迪A4(进口),3.0TD,手动变速箱(MT),2004,A4
f5046c9e72d43c1a622ba96f55e12cee,奥迪,奥迪(进口),奥迪A4(进口),3.0TD,手自一体变速箱(AT),2004,A4
0978267d10cbdb65c085a03d810bb803,奥迪,奥迪(进口),奥迪A5,1.8T,无级变速箱(CVT),2015,A5 SPORTBACK
4e4e3da7c42abad13693d39a26cabe6d,奥迪,奥迪(进口),奥迪A5,1.8T,无级变速箱(CVT),2007,A5 COUPE
f6ce1d31dfa33f65dc348ea8f49bcd51,奥迪,奥迪(进口),奥迪A5,2.0T,手动变速箱(MT),2010,A5 COUPE
4559a4b45a2b75e92601b8338f05dd01,奥迪,奥迪(进口),奥迪A5,2.0T,手自一体变速箱(AT),2009,A5 CABRIOLET
bce16d572fe273e3d9f928a056501801,奥迪,奥迪(进口),奥迪A5,2.0T,无级变速箱(CVT),2009,A5 CABRIOLET
7f7cdcdee6494832ac0a6147ba8e2612,奥迪,奥迪(进口),奥迪A5,2.0T,手动变速箱(MT),2007,A5 COUPE
e8c71f8843fcf43f4ba4ae4e6f7b4b1b,奥迪,奥迪(进口),奥迪A5,2.0T,手自一体变速箱(AT),2007,A5 COUPE
eade2ec11209ee9bb4948e1c9d7b13a0,奥迪,Audi Sport,RS5 COUPE,2.9T,自动变速箱(AT),2017,RS5 COUPE
c89fa15497d728bb0af6a1992069703a,奥迪,奥迪(进口),奥迪A5,3.0TD,双离合变速箱(DCT),2009,A5 CABRIOLET
64b5215768e000f711dcfe2a5486c62b,奥迪,奥迪(进口),奥迪A5,3.0TD,双离合变速箱(DCT),2009,A5 SPORTBACK
e217c50f811cccce85dabaf5028e0d92,奥迪,奥迪(进口),奥迪A5,3.0TD,手自一体变速箱(AT),2007,A5 COUPE
19a1eef819e85848f0eb8de99290bc80,奥迪,奥迪(进口),奥迪A5,3.2,双离合变速箱(DCT),2009,A5 CABRIOLET
32dc9b082dafb3e40669e92f1e6337b3,奥迪,奥迪(进口),奥迪A5,3.2,双离合变速箱(DCT),2009,A5 SPORTBACK
7da625bfd711b448c6ec92c4baabd8d0,奥迪,奥迪(进口),奥迪A5,3.2,手自一体变速箱(AT),2007,A5 COUPE
7897b2c7502563e4d1de58027b77f262,奥迪,奥迪(进口),奥迪A5,3.2,无级变速箱(CVT),2007,A5 COUPE
6aa72f7b8ad90484e497c47cfaa81c83,奥迪,奥迪(进口),奥迪A6(进口),3.2,手自一体变速箱(AT),2006,A6 ALLROAD
5addf51f8d21d25d79e122f417c6c18e,奥迪,奥迪(进口),奥迪A6(进口),3.2,手动变速箱(MT),2005,A6
388aafbc088fe517fcc26bef0926f25e,奥迪,奥迪(进口),奥迪A6(进口),3.2,无级变速箱(CVT),2005,A6
35980acab3246d83e25d75c7c4539b69,奥迪,奥迪(进口),奥迪A6(进口),3.2,自动变速箱(AT),2005,A6
4fde087906b80e01a4ccb9ae5d9a1527,奥迪,奥迪(进口),奥迪A6(进口),3.2,手动变速箱(MT),2005,A6 AVANT
416c1876104561dd6943b8857c135478,奥迪,奥迪(进口),奥迪A6(进口),3.2,手自一体变速箱(AT),2005,A6 AVANT
10aff8eedba34a33acc2797ff61b92f7,奥迪,Audi Sport,RS6,5.0T,手自一体变速箱(AT),2008,RS6
699e73d9fb0a4cdf36efec532abdaad5,奥迪,Audi Sport,RS6 AVANT,5.0T,手自一体变速箱(AT),2008,RS6 AVANT
fccfdba6c2eacc408b856dc4d0d1fdbb,奥迪,奥迪(进口),奥迪A8,3.3TD,手自一体变速箱(AT),2001,A8
01f1e7d723159d6daa72bfc605210542,奥迪,奥迪(进口),奥迪Q3(进口),2.0T,双离合变速箱(DCT),2018,Q3
33b09b32f280e1dd62d13f222c1642e7,奥迪,奥迪(进口),奥迪Q3(进口),2.0T,双离合变速箱(DCT),2014,Q3
74ccfd4ec48dec65202399a80f0987a9,奥迪,奥迪(进口),奥迪Q3(进口),2.0T,双离合变速箱(DCT),2011,Q3
47dc7261ddcc6c9b30cd15db32ca80cd,奥迪,奥迪(进口),奥迪Q3(进口),2.0T,手动变速箱(MT),2011,Q3
19e4ebfb0f368eb00a2491b28512cb29,奥迪,奥迪(进口),奥迪Q3(进口),2.0TD,双离合变速箱(DCT),2011,Q3
2873b3081f8039ae03387cee2927ef41,奥迪,奥迪(进口),奥迪Q3(进口),2.0TD,手动变速箱(MT),2011,Q3
eed627d1e93ef9c44c43e769f5fadca0,奥迪,奥迪(进口),奥迪Q5(进口),2.0TD,手动变速箱(MT),2009,Q5
73f7b044489838780d93a4a99265cfb6,奥迪,奥迪(进口),奥迪Q5(进口),3.0T,手自一体变速箱(AT),2017,Q5
7532eb1e471adf1783292416ed50a4b1,奥迪,奥迪(进口),奥迪Q5(进口),3.0TD,双离合变速箱(DCT),2009,Q5
f54b1114593b084154c563b4533b6ce2,奥迪,奥迪(进口),奥迪Q5(进口),3.2,手自一体变速箱(AT),2010,Q5
7ea63dc2ef2491e65e6b4d912b70bc9c,奥迪,奥迪(进口),奥迪Q7,3.0T,手自一体变速箱(AT),2017,Q7
a0b28f9e25dd5089ccc695ebde5304da,奥迪,奥迪(进口),奥迪Q7,3.0T,手自一体变速箱(AT),2010,Q7
4e590d1269228e44f4c15b2222541550,奥迪,奥迪(进口),奥迪Q7,3.0T,手自一体变速箱(AT),2006,Q7
431672ada2f85f561f86c9537661cfb4,奥迪,奥迪(进口),奥迪Q7,4.2TD,手自一体变速箱(AT),2007,Q7
b95ab74f3a62dfabd1feae4b882aa0d7,奥迪,Audi Sport,奥迪R8,4.2,手动变速箱(MT),2012,R8 COUPE
7464024a9d1e164ac16a6ab3c50c78d9,奥迪,Audi Sport,奥迪R8,5.2,序列变速箱,2010,R8 SPYDER
d7046d8d16d44fac19adb37268f85e1a,奥迪,Audi Sport,奥迪R8,5.2,手动变速箱(MT),2010,R8 SPYDER
74b92623ddb5044e882b2ec37654f193,奥迪,Audi Sport,奥迪R8,5.2,序列变速箱,2008,R8 COUPE
027052af4ef3296c5b7dcb73bd4f8665,奥迪,奥迪(进口),奥迪TT,3.2,双离合变速箱(DCT),2007,TT COUPE
100ee134b43a6910ff3d8de883a61ad6,奥迪,奥迪(进口),奥迪TT,3.2,双离合变速箱(DCT),2007,TT ROADSTER
2bf3e7db62881d36d35c837ecb453758,奥迪,奥迪(进口),奥迪TT,3.2,双离合变速箱(DCT),2003,TT COUPE
98ae6cbd7072bfdeca636b89f13044db,奥迪,奥迪(进口),奥迪TT,3.2,手动变速箱(MT),2003,TT COUPE
3fdf3e24829fbc31ba9b8db90b9cbb47,奥迪,奥迪(进口),奥迪TT,3.2,双离合变速箱(DCT),2003,TT ROADSTER
881541c2027d7bd8ab05ddd0437153bc,奥迪,奥迪(进口),奥迪TT,3.2,手动变速箱(MT),2003,TT ROADSTER
b100a6e3fd2a5e0ec406ae40938f2ec9,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,6,手自一体变速箱(AT),2008,DBS
91c5e0309d0586a2510d628f64382fec,阿斯顿·马丁,阿斯顿·马丁,-,7.3,手自一体变速箱(AT),2010,ONE-77
86044f42765b8dcc96619ad9dff969bd,本田,东风本田,本田CR-V,2,手动变速箱(MT),2006,CR-V
12631af913c47d93fa4f5f0fe6fdbee6,本田,东风本田,本田CR-V,2,自动变速箱(AT),2006,CR-V
716649cb8f864b33d867f1380ddad1b7,本田,东风本田,本田CR-V,2.4,自动变速箱(AT),2006,CR-V
39b003ef4f9b0aa7169684ac62792b0a,本田,东风本田,思域,1.0T,手动变速箱(MT),2017,思域
20c717e2a4e2d5ab623bbce3587c1752,本田,东风本田,思域,1.0T,无级变速箱(CVT),2017,思域
f91e82e23cfc166894f74c45484102cc,本田,东风本田,思域,1.8,手动变速箱(MT),2011,思域
1d834f7e1d08cfdbb625628fa28c64d2,本田,东风本田,思域,1.8,自动变速箱(AT),2011,思域
7173d765f54cc6fd126890365300f4c4,本田,东风本田,思域,2,手自一体变速箱(AT),2013,思域
2931491d8766f55d8e91e0cd8faf20b2,奥迪,奥迪(进口),奥迪A8,3.7,手自一体变速箱(AT),2003,A8
dc0d705a126916efecdccc10b38fc863,奥迪,奥迪(进口),奥迪Q5(进口),2.0T,双离合变速箱(DCT),2018,Q5
678ac85e1a1e053a45515bc7dfd92f50,奥迪,奥迪(进口),奥迪Q5(进口),2.0T,手自一体变速箱(AT),2017,Q5
271b2ab113d7ef18f97aaf29acedc12f,奥迪,奥迪(进口),奥迪Q5(进口),2.0T,手自一体变速箱(AT),2016,Q5 HYBRID
7da879341ef6c31d540977555bdc343f,奥迪,奥迪(进口),奥迪Q5(进口),2.0T,手自一体变速箱(AT),2014,Q5
d54012d4c1ff479c7d68a685af7f37eb,奥迪,奥迪(进口),奥迪Q5(进口),2.0T,手动变速箱(MT),2009,Q5
dd366b02c7b5bd268a602667aa4eda6c,本田,东风本田,艾力绅,2.4,自动变速箱(AT),2013,艾力绅
8e13b8a1c6fdb4c80157fbee5063bf40,本田,广汽本田,奥德赛,2.3,自动变速箱(AT),2002,奥德赛
5951102e41e56a6b7b8f9465e3af8159,本田,广汽本田,思迪,1.3,手动变速箱(MT),2008,思迪
35b00596f997f5ce147489b76f4388e2,本田,广汽本田,思迪,1.5,手动变速箱(MT),2008,思迪
fdf6eb60a93d787e9d76f585911c43df,本田,广汽本田,思迪,1.5,自动变速箱(AT),2008,思迪
2d311796db99aa02d8a635cfd00ad051,本田,广汽本田,锋范,1.5,手动变速箱(MT),2009,锋范
21c58f6833b5b1e23f39a9a288c2ed7c,本田,广汽本田,锋范,1.5,自动变速箱(AT),2009,锋范
34f5c219f522902ad041341a146eb251,本田,广汽本田,锋范,1.8,手自一体变速箱(AT),2009,锋范
ce18c91d0d8da0e884b2c4790bf80049,本田,广汽本田,雅阁,2,自动变速箱(AT),2009,雅阁
1662ad08359756a2dceeb84c4556efd3,本田,广汽本田,雅阁,2,自动变速箱(AT),2003,雅阁
7039c67ee0bdf3494a0c6ce5f0451ffc,本田,广汽本田,雅阁,2,自动变速箱(AT),2000,雅阁
a8b3af28dd83653710598755603520e5,本田,广汽本田,雅阁,2.3,自动变速箱(AT),2001,雅阁
ef5c333c6200774dc57172fcf6de26df,本田,广汽本田,雅阁,2.4,自动变速箱(AT),2013,雅阁
8b276adda5dca19e915a740d5c855413,本田,广汽本田,雅阁,2.4,自动变速箱(AT),2003,雅阁
d952afae3cbbbbaaeb6ceaeefe855ba5,本田,广汽本田,雅阁,3,自动变速箱(AT),2003,雅阁
7b50d2e0cbbf4a0a7d0b02a1ff5b6788,本田,广汽本田,雅阁,3,自动变速箱(AT),2001,雅阁
942ecfbecc66404b9feaa71e2f1ffb59,本田,广汽本田,飞度,1.3,手动变速箱(MT),2012,飞度
df224791948bdccdba4b90355b4c2c8b,本田,广汽本田,飞度,1.3,自动变速箱(AT),2012,飞度
ed94994b091951cc36621c9d8cc5ef25,本田,广汽本田,飞度,1.3,无级变速箱(CVT),2008,飞度
5231fc0795cf2fae218d3aea7a19aba6,本田,广汽本田,飞度,1.3,手动变速箱(MT),2006,飞度
18e1ad20107c67542990aa5f34c76a4e,本田,广汽本田,飞度,1.3,无级变速箱(CVT),2006,飞度
6006fe8dbb137a19b51c2be4b7314b4c,本田,广汽本田,飞度,1.5,手动变速箱(MT),2012,飞度
df0f844ed4aa98a97c99aa18f973d803,本田,广汽本田,飞度,1.5,自动变速箱(AT),2012,飞度
7bd8bda0156d6c54124a6d62de426e39,本田,广汽本田,飞度,1.5,无级变速箱(CVT),2008,飞度
20cce638c2d565ab844c92b1e62658ab,本田,广汽本田,飞度,1.5,手动变速箱(MT),2006,飞度
dbfd4fb4117e30a19bca7a58929dbafd,本田,广汽本田,飞度,1.5,无级变速箱(CVT),2006,飞度
0179d1f8b59088f0fea9e916309fc32d,本田,本田(进口),-,1.8,手动变速箱(MT),2001,ACCORD-R [雅阁-欧版]
2e82bad7146774f299d0cd4fd6546953,本田,本田(进口),-,2,手动变速箱(MT),2008,ACCORD TOURER [雅阁 旅行车]
8a6976bd87b11209cbd1e6f955f7a398,本田,本田(进口),-,2,手动变速箱(MT),2008,ACCORD-R [雅阁-欧版]
b9d846614bbd90b848602a267966dbe4,本田,本田(进口),-,2,手动变速箱(MT),2006,ACCORD-R [雅阁-欧版]
c328d879018122b87aa94402d476bd93,本田,本田(进口),-,2,手动变速箱(MT),2005,ACCORD TOURER [雅阁 旅行车]
c632145369a1e99a4f2d8eeee1cdc4e7,本田,本田(进口),-,2,手动变速箱(MT),2003,ACCORD TOURER [雅阁 旅行车]
e1578128224e5da0036633ca651efc89,本田,本田(进口),-,2,手动变速箱(MT),2003,ACCORD-R [雅阁-欧版]
0ab1c39491a25ffe0f37cb169211bca6,本田,本田(进口),-,2.2D,手动变速箱(MT),2008,ACCORD TOURER [雅阁 旅行车]
36f87835e38cdfc1e21c890a2844a6f3,本田,本田(进口),-,2.2D,手动变速箱(MT),2008,ACCORD-R [雅阁-欧版]
d0cad62e5fe7c32e4e065f1a157c48f6,本田,本田(进口),-,2.2TD,手动变速箱(MT),2006,ACCORD-R [雅阁-欧版]
4f42b6311cdc568e9920c1a2ac77bbd0,本田,本田(进口),-,2.2TD,手动变速箱(MT),2005,ACCORD TOURER [雅阁 旅行车]
81f3f7a537843257f42944f18c41a8a2,本田,本田(进口),-,2.2TD,手动变速箱(MT),2003,ACCORD TOURER [雅阁 旅行车]
dd7c0ba16a28096cf819decb1987e42c,本田,本田(进口),-,2.2TD,手动变速箱(MT),2003,ACCORD-R [雅阁-欧版]
7f391c1a1e831aa7a97a5814477d25ed,本田,本田(进口),-,2.3,自动变速箱(AT),2001,ACCORD-SEDAN [雅阁 三厢]
b625f5de96faf8bda507880af522eefc,本田,本田(进口),-,2.3,自动变速箱(AT),2000,ACCORD-SEDAN [雅阁 三厢]
dfb647f4bb7728df84f12cbcb765e7a6,本田,本田(进口),-,2.4,手动变速箱(MT),2011,ACCORD COUPE [雅阁 COUPE]
f0972f520a7c0310d7e0f611ff05a3b1,本田,本田(进口),-,2.4,自动变速箱(AT),2011,ACCORD COUPE [雅阁 COUPE]
c3d9c9c9db25600fd4635c523ba7e3e6,本田,本田(进口),-,2.4,手动变速箱(MT),2011,ACCORD-SEDAN [雅阁 三厢]
80dd2d2d067cb4749e5d94bbad8776e9,本田,本田(进口),-,2.4,自动变速箱(AT),2011,ACCORD-SEDAN [雅阁 三厢]
deed3bac15caf4d4ef5c42357c9db848,本田,本田(进口),-,2.4,手动变速箱(MT),2010,ACCORD COUPE [雅阁 COUPE]
1efa8185c3d0726333187f520714a984,本田,本田(进口),-,2.4,自动变速箱(AT),2010,ACCORD COUPE [雅阁 COUPE]
0d071e57ac281e36e5163a56eba56d38,本田,本田(进口),-,2.4,手动变速箱(MT),2008,ACCORD COUPE [雅阁 COUPE]
3dbb50749edbb929e8c12838361b9fe8,本田,本田(进口),-,2.4,自动变速箱(AT),2008,ACCORD COUPE [雅阁 COUPE]
2b6c08f4a8da31e31b13fe21afc4d97c,本田,本田(进口),-,2.4,手动变速箱(MT),2008,ACCORD TOURER [雅阁 旅行车]
8537527ff65b0d0d84b5e2c8d5cd76e8,本田,本田(进口),-,2.4,手动变速箱(MT),2008,ACCORD-R [雅阁-欧版]
2f26f55a07ab9b3508cbb46e374ecf84,本田,本田(进口),-,2.4,手动变速箱(MT),2008,ACCORD-SEDAN [雅阁 三厢]
059e1a7709080781b326e6ace3d467ea,本田,本田(进口),-,2.4,自动变速箱(AT),2008,ACCORD-SEDAN [雅阁 三厢]
10398ede0bd70aa0f9ddcd9803714630,本田,本田(进口),-,2.4,手动变速箱(MT),2006,ACCORD COUPE [雅阁 COUPE]
19360b2e241601b58e06990418d372a1,本田,本田(进口),-,2.4,自动变速箱(AT),2006,ACCORD COUPE [雅阁 COUPE]
eb07ff137d68740055e494aed20a5076,本田,本田(进口),-,2.4,手动变速箱(MT),2006,ACCORD-R [雅阁-欧版]
702a7d86bbfa86e93275627d9092f1d6,本田,本田(进口),-,2.4,手动变速箱(MT),2005,ACCORD TOURER [雅阁 旅行车]
59f3da10e959dd3272c1d24592e9370b,本田,本田(进口),-,2.4,手动变速箱(MT),2003,ACCORD COUPE [雅阁 COUPE]
5393bba47cbbf5e850c4932470f39c38,本田,本田(进口),-,2.4,自动变速箱(AT),2003,ACCORD COUPE [雅阁 COUPE]
c369f20811f35418a84b83ea679b3319,本田,本田(进口),-,2.4,手动变速箱(MT),2003,ACCORD TOURER [雅阁 旅行车]
4472f5b6d6b9961e563b1480b25dee8c,本田,本田(进口),-,2.4,手动变速箱(MT),2003,ACCORD-R [雅阁-欧版]
21357ee736655d593edc27a849fb8fa3,本田,本田(进口),-,2.4,手动变速箱(MT),2003,ACCORD-SEDAN [雅阁 三厢]
4e8a9e3ac06cc7d8e36a346acff0c0e2,本田,本田(进口),-,2.4,自动变速箱(AT),2003,ACCORD-SEDAN [雅阁 三厢]
983c47871a80979cb79168920e9f5d1e,本田,本田(进口),-,3,自动变速箱(AT),2006,ACCORD COUPE [雅阁 COUPE]
e0b5c5fa2cc77a8c4568b0f62a90f602,本田,本田(进口),-,3,自动变速箱(AT),2006,ACCORD HYBRID [雅阁 油电混合]
0056a8bf7419d66fa8ad9546a242ba7c,本田,本田(进口),-,3,自动变速箱(AT),2003,ACCORD COUPE [雅阁 COUPE]
7d061bf696cd2dca66313b27beac3dcc,本田,本田(进口),-,3,自动变速箱(AT),2003,ACCORD-SEDAN [雅阁 三厢]
4cd995f235f137b543ba5a670e6d205b,本田,本田(进口),-,3.5,手动变速箱(MT),2011,ACCORD COUPE [雅阁 COUPE]
70593b4f135ed123a5dcf95fa8535662,本田,本田(进口),-,3.5,自动变速箱(AT),2011,ACCORD-SEDAN [雅阁 三厢]
89aaee4c1515660371454d26ab2166ca,本田,本田(进口),-,3.5,自动变速箱(AT),2010,ACCORD COUPE [雅阁 COUPE]
4b47a088423f256f06662d1587e5eb17,本田,本田(进口),-,3.5,自动变速箱(AT),2008,ACCORD COUPE [雅阁 COUPE]
424bf45d4d847ec20e2762cb543afe90,本田,本田(进口),-,3.5,手动变速箱(MT),2008,ACCORD-SEDAN [雅阁 三厢]
166aec01d6ed4fd88de30b9974bdce86,本田,本田(进口),-,3.5,自动变速箱(AT),2008,ACCORD-SEDAN [雅阁 三厢]
57ec27a5a7a6abe9978f5e7d058a84a7,本田,本田(进口),-,1.5,无级变速箱(CVT),2009,AIRWAVE [气浪]
1bddd6aa8454a52ceb923a3436cb13eb,本田,本田(进口),-,1.5,无级变速箱(CVT),2007,AIRWAVE [气浪]
0cf43f5f1af2dbf3ecf59ba9a70d5268,本田,本田(进口),-,1.5,无级变速箱(CVT),2005,AIRWAVE [气浪]
c9727784babda6b898a7a0007a28d8c4,本田,本田(进口),-,1.3,无级变速箱(CVT),2008,CIVIC HYBRID [思域 油电混合]
874941a05207e03d940ba4ea6f1f86ed,本田,本田(进口),-,1.3,手动变速箱(MT),2008,CIVIC-HATCHBACK [思域 两厢]
0cb8c5a307b275f5f9fdabfcd698cfc4,本田,本田(进口),-,1.3,无级变速箱(CVT),2006,CIVIC HYBRID [思域 油电混合]
7c01b28d0f2a2c8c44521e5e25c80718,本田,本田(进口),-,1.3,手动变速箱(MT),2005,CIVIC-HATCHBACK [思域 两厢]
432690fe7b27d5fe0a696b7ad18f1ed7,本田,本田(进口),-,1.3,手动变速箱(MT),2001,CIVIC HYBRID [思域 油电混合]
a8a46840a1d14b454d9af670d54916f0,本田,本田(进口),-,1.4,无级变速箱(CVT),2008,CIVIC HYBRID [思域 油电混合]
32058ca562d177db1f5ac5f937428bec,本田,本田(进口),-,1.4,无级变速箱(CVT),2005,CIVIC HYBRID [思域 油电混合]
41b518263da3208b256e667d1ae5aaae,本田,本田(进口),-,1.4,手动变速箱(MT),2003,CIVIC-HATCHBACK [思域 两厢]
262c6ac34668838e88475438119a8453,本田,本田(进口),-,1.4,手动变速箱(MT),2001,CIVIC-HATCHBACK [思域 两厢]
bd6619f3fb2606e1045d7bfdc4a7d794,本田,本田(进口),-,1.4,自动变速箱(AT),2000,CIVIC-SEDAN [思域 三厢]
2db3baed70f511731d822d1b52031d0c,本田,本田(进口),-,1.5,手动变速箱(MT),2003,CIVIC-SEDAN [思域 三厢]
caa1ee182dfd7e79b8503a78cbbb9a56,本田,本田(进口),-,1.5,自动变速箱(AT),2003,CIVIC-SEDAN [思域 三厢]
bb6dab944ac69e7bc5107fb31f0a114a,本田,本田(进口),-,1.5,手动变速箱(MT),2000,CIVIC-SEDAN [思域 三厢]
d5157a93a0c502949ab962bc11459eb8,本田,本田(进口),-,1.5,自动变速箱(AT),2000,CIVIC-SEDAN [思域 三厢]
7bde930b03e96f4eb7bc2046a72473aa,本田,本田(进口),-,1.6,自动变速箱(AT),2006,CIVIC-SEDAN [思域 三厢]
7a6a99459f873cb3e4980e8212b60123,本田,本田(进口),-,1.6,无级变速箱(CVT),2004,CIVIC-SEDAN [思域 三厢]
3d6ea551534858bc0ba9b9895d8ad234,本田,本田(进口),-,1.6,手动变速箱(MT),2003,CIVIC-HATCHBACK [思域 两厢]
350101c3027062124008adcb826aa27f,本田,本田(进口),-,1.6,手动变速箱(MT),2001,CIVIC COUPE [思域 COUPE]
fa66c2b6c4032cd0d6bd8128d948c430,本田,本田(进口),-,1.6,手动变速箱(MT),2001,CIVIC-HATCHBACK [思域 两厢]
7a7b914d5e3597cfc9c9c3a645a605a3,本田,本田(进口),-,1.6,手动变速箱(MT),2001,CIVIC-SEDAN [思域 三厢]
bc0dbf08cee21aa2fb8076619806d3cf,本田,本田(进口),-,1.6,自动变速箱(AT),2001,CIVIC-SEDAN [思域 三厢]
1eb481915ef9a4e2ec1782481daeac32,本田,本田(进口),-,1.6,手动变速箱(MT),2000,CIVIC-SEDAN [思域 三厢]
d4ff38ac5a950b58f14fa5dc8d5b4f70,本田,本田(进口),-,1.6,自动变速箱(AT),2000,CIVIC-SEDAN [思域 三厢]
bb66d9d10e82a6b88bdf4642584443f2,本田,本田(进口),-,1.7,自动变速箱(AT),2005,CIVIC-SEDAN [思域 三厢]
172847ca011e91b2c9712080a5be3fa1,本田,本田(进口),-,1.7,自动变速箱(AT),2003,CIVIC-SEDAN [思域 三厢]
f7beb4f8dea4e88bff7345d937f5f3c3,本田,本田(进口),-,1.7,手动变速箱(MT),2001,CIVIC COUPE [思域 COUPE]
602b54e0c3f5bdb046a33659340f8829,本田,本田(进口),-,1.7,自动变速箱(AT),2001,CIVIC COUPE [思域 COUPE]
72eee0d53776bfcf94bc2b0664341ee3,本田,本田(进口),-,1.7,手动变速箱(MT),2001,CIVIC-SEDAN [思域 三厢]
0c10fd372dd0049a222721ee4b486edb,本田,本田(进口),-,1.7,自动变速箱(AT),2001,CIVIC-SEDAN [思域 三厢]
f9b753e2b574f88979d1aec8dc3dfeba,本田,本田(进口),-,1.7,手动变速箱(MT),2000,CIVIC-SEDAN [思域 三厢]
843f4b638defabba32275d265740fc95,本田,本田(进口),-,1.7,自动变速箱(AT),2000,CIVIC-SEDAN [思域 三厢]
40267ac70f8ff8b8a382f83c35ee2bee,本田,本田(进口),-,1.7D,手动变速箱(MT),2003,CIVIC-HATCHBACK [思域 两厢]
681c5de63a11a1470c178bba6530a0e6,本田,本田(进口),-,1.7TD,手动变速箱(MT),2003,CIVIC-HATCHBACK [思域 两厢]
e1fd8e2f361281cb5234401b9cd02d2c,本田,本田(进口),-,1.7TD,手动变速箱(MT),2001,CIVIC-HATCHBACK [思域 两厢]
c1b6fe8197d5caddb0cb5a474dded249,本田,本田(进口),-,1.8,自动变速箱(AT),2011,CIVIC-SEDAN [思域 三厢]
4d7b3cb40234b423f1d8aa91b361e83c,本田,本田(进口),-,1.8,手动变速箱(MT),2010,CIVIC-SEDAN [思域 三厢]
0f44cb068c8393e7fbd5aa62ff85666b,本田,本田(进口),-,1.8,自动变速箱(AT),2010,CIVIC-SEDAN [思域 三厢]
294ece8949c30dedeab8b4e029ac45c5,本田,本田(进口),-,1.8,手动变速箱(MT),2009,CIVIC COUPE [思域 COUPE]
00ce2d3a5be8ce923e33c70439064c9f,本田,本田(进口),-,1.8,自动变速箱(AT),2009,CIVIC COUPE [思域 COUPE]
b67597baa1479b9e5db739a36aad80a5,本田,本田(进口),-,1.8,手动变速箱(MT),2009,CIVIC-SEDAN [思域 三厢]
530fcc700fdd71e024372a654a66ca46,本田,本田(进口),-,1.8,自动变速箱(AT),2009,CIVIC-SEDAN [思域 三厢]
f1cbbede8eda3e7efbc21e3eb526581a,本田,本田(进口),-,1.8,自动变速箱(AT),2008,CIVIC HYBRID [思域 油电混合]
60cecbdd24523a7f9557af6aa3ba054d,本田,本田(进口),-,1.8,手动变速箱(MT),2008,CIVIC-HATCHBACK [思域 两厢]
fd67173f85f8c058864dffb337ab840a,本田,本田(进口),-,1.8,手动变速箱(MT),2008,CIVIC-SEDAN [思域 三厢]
bdb24204d491989e61a3b0ae7ab5ab3b,本田,本田(进口),-,1.8,手动变速箱(MT),2006,CIVIC COUPE [思域 COUPE]
beb89fde71385ff808b452a6c530dad1,本田,本田(进口),-,1.8,自动变速箱(AT),2006,CIVIC COUPE [思域 COUPE]
83029ccfa69be5fd46872469c90abe4d,本田,本田(进口),-,1.8,手动变速箱(MT),2006,CIVIC-SEDAN [思域 三厢]
7db4a72696241d00a170e5874b1b619c,本田,本田(进口),-,1.8,自动变速箱(AT),2006,CIVIC-SEDAN [思域 三厢]
be10273a0c4d8a59da258f814e5fcca4,本田,本田(进口),-,1.8,自动变速箱(AT),2005,CIVIC HYBRID [思域 油电混合]
5594a41d39b08aa87811007d67d8323a,本田,本田(进口),-,1.8,手动变速箱(MT),2005,CIVIC-HATCHBACK [思域 两厢]
90d8186938482cfacc1905ce2c6ad1f4,本田,本田(进口),-,1.8,手动变速箱(MT),2005,CIVIC-SEDAN [思域 三厢]
6fb4a99b870915a1574b08b80b1a1a53,本田,本田(进口),-,2,手动变速箱(MT),2009,CIVIC R [思域 R]
a8a840fe8e265cd8c7eb0bfd724415d5,本田,本田(进口),-,2,手动变速箱(MT),2009,CIVIC SI COUPE [思域 SI COUPE]
